StudentID,English_Language,Mathematics,Biology,Chemistry,Physics,Economics,Government,Literature,Geography,Computer_Studies,Technical_Drawing,Further_Mathematics,Agricultural_Science,Study_Habits,Analytical_Thinking,Creative_Thinking,Communication_Skills,Practical_Skills,Science_Club,Debate_Club,Learning_Style,Gender,Career_Path
STU0001,73,80,72,43,54,88,87,65,47,88,47,30,54,3,3,4,7,3,1,0,Interpersonal,Male,Business
STU0002,58,73,83,64,88,61,73,56,73,77,92,66,70,7,5,5,6,7,0,1,Bodily-Kinesthetic,Female,Technical_Vocational
STU0003,81,58,73,48,58,59,83,84,76,63,62,84,76,9,10,6,7,8,0,1,Verbal-Linguistic,Female,Law
STU0004,92,65,83,52,52,87,84,78,75,56,42,51,72,7,8,4,10,4,0,1,Intrapersonal,Female,Social_Sciences
STU0005,100,82,76,82,81,51,64,69,38,92,99,91,72,10,9,8,8,9,1,1,Visual-Spatial,Female,Engineering
STU0006,73,87,88,96,99,72,71,56,59,89,80,92,57,10,8,7,7,7,1,0,Visual-Spatial,Male,Engineering
STU0007,97,83,78,53,88,68,54,59,75,94,54,90,55,8,10,8,7,7,1,1,Logical-Mathematical,Male,Computer_Science
STU0008,71,89,97,87,89,71,71,57,89,59,60,95,97,9,7,3,8,5,1,0,Naturalistic,Female,Natural_Sciences
STU0009,89,57,87,76,49,87,93,84,80,79,52,79,64,7,7,4,10,5,0,1,Logical-Mathematical,Female,Social_Sciences
STU0010,78,46,51,70,47,88,75,79,74,78,68,46,74,4,6,5,8,8,0,0,Verbal-Linguistic,Female,Education
STU0011,86,83,66,50,88,51,51,65,49,95,64,85,68,3,10,7,3,8,1,0,Logical-Mathematical,Male,Computer_Science
STU0012,86,58,79,73,73,49,60,43,73,81,84,61,80,8,4,3,3,9,1,0,Bodily-Kinesthetic,Male,Technical_Vocational
STU0013,58,87,96,75,82,40,68,83,90,77,63,87,89,3,9,7,3,8,1,0,Naturalistic,Male,Natural_Sciences
STU0014,68,85,65,85,90,57,64,54,44,93,84,87,42,9,9,3,7,9,1,0,Naturalistic,Female,Engineering
STU0015,47,89,99,97,86,66,79,56,81,92,96,84,82,9,10,6,6,7,0,0,Visual-Spatial,Male,Engineering
STU0016,74,85,72,95,100,63,58,80,81,86,93,73,66,8,7,5,3,8,0,0,Visual-Spatial,Male,Engineering
STU0017,84,84,88,83,67,73,84,61,72,53,49,67,32,9,7,5,5,7,0,1,Naturalistic,Female,Medicine
STU0018,86,59,80,45,54,80,60,100,69,69,42,44,69,8,8,8,6,6,0,1,Verbal-Linguistic,Male,Arts_Humanities
STU0019,79,80,68,74,46,78,76,68,44,78,51,54,77,3,7,6,8,5,0,0,Bodily-Kinesthetic,Female,Business
STU0020,73,77,88,92,73,61,68,47,69,45,57,77,37,10,6,4,5,7,1,1,Naturalistic,Male,Medicine
STU0021,85,58,58,69,66,99,89,65,73,61,41,57,84,3,6,5,9,4,0,0,Intrapersonal,Male,Social_Sciences
STU0022,65,76,56,90,81,63,66,51,42,84,87,100,74,7,7,7,7,7,1,0,Visual-Spatial,Female,Engineering
STU0023,81,73,99,99,65,60,46,81,39,83,63,61,73,9,8,4,5,8,1,0,Naturalistic,Male,Medicine
STU0024,59,83,48,56,86,88,67,49,50,70,68,47,61,9,6,8,7,5,0,1,Interpersonal,Female,Business
STU0025,87,76,60,54,63,68,64,94,53,42,66,34,60,5,3,7,8,6,0,1,Intrapersonal,Male,Arts_Humanities
STU0026,69,54,76,51,64,77,90,92,70,47,29,46,54,8,8,5,10,4,0,0,Verbal-Linguistic,Male,Law
STU0027,53,81,64,99,84,73,43,66,57,87,77,89,80,7,9,6,8,8,1,1,Visual-Spatial,Female,Engineering
STU0028,95,52,70,65,72,79,54,97,62,53,70,59,75,6,5,10,8,7,0,1,Verbal-Linguistic,Female,Arts_Humanities
STU0029,81,74,65,51,74,85,78,62,79,49,55,17,51,3,4,5,8,5,0,0,Interpersonal,Male,Social_Sciences
STU0030,73,98,63,57,83,71,68,78,35,90,70,96,63,8,10,8,7,4,1,1,Logical-Mathematical,Male,Computer_Science
STU0031,87,57,57,65,72,80,84,69,82,58,28,10,84,4,5,7,9,5,1,1,Bodily-Kinesthetic,Female,Social_Sciences
STU0032,57,84,85,100,97,46,41,74,63,87,80,93,62,9,7,3,5,8,1,0,Visual-Spatial,Male,Engineering
STU0033,68,97,49,73,91,59,56,46,52,85,83,81,66,3,8,7,8,3,0,0,Logical-Mathematical,Male,Computer_Science
STU0034,61,88,62,81,91,63,75,65,73,70,91,75,82,3,5,5,7,9,0,0,Interpersonal,Male,Technical_Vocational
STU0035,75,78,78,72,83,76,64,67,68,87,87,73,90,3,5,3,4,7,0,1,Bodily-Kinesthetic,Female,Technical_Vocational
STU0036,68,97,96,94,82,100,73,50,78,90,66,83,98,7,9,7,3,8,1,0,Naturalistic,Male,Natural_Sciences
